4	5	2	29	25	25	4	1	4	2	4	14	27	28	13	13	4	12	31	4	27	25	12	10	26	26	26	26	26	26	25	26	21	26	2	2	7	4	4	31	4	7	7	8	6	30	8	8	8	29	8	30	30	30	30	29	29	29	4	29	
31	29	29	2	2	4	3	3	13	2	13	2	10	26	25	25	25	25	25	25	25	25	26	27	31	4	4	4	4	29	29	29	29	29	29	23	29	29	24	24	29	29	29	29	7	31	4	31	32	31	30	29	4	31	27	28	14	29	2	27	
11	24	15	2	26	26	25	25	25	25	26	26	26	26	26	31	26	4	4	7	4	29	31	32	29	29	29	29	11	29	4	31	14	31	29	4	29	29	8	30	30	29	29	30	8	29	30	30	30	30	30	30	4	4	4	31	4	4	14	2	
25	2	25	26	25	25	25	26	14	4	4	29	29	7	29	30	29	29	29	29	29	29	6	23	29	29	29	7	29	4	7	30	29	30	4	4	31	31	31	31	4	31	31	31	4	4	27	4	4	3	4	28	27	27	4	4	3	2	27	27	
4	2	26	26	26	26	25	26	26	25	26	26	2	27	23	26	4	4	29	29	24	29	29	29	29	31	31	29	4	4	29	31	31	31	31	32	24	32	32	31	27	31	4	31	31	31	31	31	31	28	31	31	31	31	31	4	28	27	27	31	
27	25	25	25	25	25	25	26	26	25	26	26	15	27	31	27	4	31	31	29	31	4	31	31	28	28	31	29	14	4	31	4	31	30	32	30	12	31	4	4	24	24	24	31	12	28	31	29	2	24	13	13	29	4	31	4	4	31	31	4	
2	13	13	2	4	3	26	26	26	2	2	26	26	26	25	2	27	14	4	14	29	4	29	29	29	29	29	29	29	29	30	29	31	29	24	32	31	31	30	30	31	29	29	14	23	4	4	4	4	4	11	29	4	27	4	4	4	4	4	4	
25	4	4	3	3	3	12	27	25	25	25	26	2	2	26	25	25	25	27	4	14	4	29	29	29	4	29	29	29	8	29	29	31	29	29	29	31	29	29	31	31	31	31	32	12	12	11	27	2	3	3	4	27	4	4	29	29	4	13	2	
25	26	25	25	26	26	13	25	4	14	4	31	4	29	31	31	31	30	29	31	29	29	4	4	4	12	28	4	27	27	4	4	4	29	4	4	4	4	2	27	31	31	31	12	28	31	4	31	12	31	31	28	7	4	13	20	31	31	31	31	
27	28	4	4	29	4	13	13	3	27	2	5	3	2	2	4	4	4	25	25	25	25	2	25	25	25	26	26	26	26	15	26	31	31	31	31	31	31	29	31	4	31	31	14	31	12	31	31	31	31	31	24	31	31	29	29	14	29	28	4	
14	27	14	29	24	7	4	4	27	26	26	26	26	25	26	25	26	25	25	27	27	27	27	27	31	31	31	24	31	31	28	12	31	14	27	14	14	24	12	31	31	31	4	27	29	31	12	14	31	31	31	2	4	4	5	12	27	4	28	4	
4	3	10	4	3	32	31	25	27	25	25	25	25	2	26	25	25	25	25	27	4	4	4	4	4	31	31	31	30	29	29	24	31	4	31	31	3	3	3	3	3	3	3	3	1	1	3	3	3	7	7	29	31	32	31	31	31	4	4	4	
27	27	27	27	14	2	23	4	31	31	31	31	31	12	27	25	27	25	25	25	25	25	2	26	2	2	13	4	14	4	29	7	8	29	29	29	8	29	30	29	29	29	29	30	29	8	8	30	30	30	8	29	31	31	31	23	31	27	4	28	
3	12	4	3	4	27	28	27	25	25	25	25	2	2	25	25	2	2	2	2	13	4	13	29	7	7	29	29	29	30	30	29	30	4	31	29	29	29	29	30	31	32	30	31	4	4	4	3	2	3	27	27	27	31	28	4	4	5	2	4	
28	27	25	27	28	28	4	25	27	25	25	25	2	2	2	26	2	2	2	4	27	4	29	29	29	29	29	29	30	29	30	30	30	29	29	29	29	28	12	31	31	4	30	30	7	7	8	7	4	6	2	4	4	4	4	4	28	31	31	31	
3	3	3	3	14	12	4	4	4	4	4	3	25	27	26	25	25	25	25	25	26	26	26	2	25	26	14	4	4	4	4	29	31	29	29	30	29	30	30	29	4	29	4	4	4	4	7	31	12	4	3	3	3	3	3	3	7	27	4	13	
4	31	31	31	4	31	4	3	27	25	25	25	25	2	25	2	2	2	2	4	4	29	29	7	7	29	29	29	29	29	30	31	8	30	29	29	29	31	24	31	31	4	4	12	4	4	4	29	31	31	31	4	31	31	29	4	7	31	31	31	
3	4	3	3	3	2	25	27	25	25	25	2	2	26	26	26	1	25	14	4	4	4	7	29	29	29	29	30	29	30	30	30	31	29	29	29	29	29	29	29	31	31	4	4	4	4	4	31	31	12	12	31	31	27	2	4	3	4	14	11	
4	4	31	4	2	4	3	4	27	26	25	25	25	2	25	25	25	2	2	25	2	4	13	4	4	29	8	29	29	29	30	29	4	29	29	29	4	29	4	4	4	4	31	4	29	4	7	29	4	31	29	29	6	14	11	4	11	4	4	31	
25	3	4	26	27	26	2	25	25	25	2	25	2	2	2	6	4	4	4	4	4	4	7	29	30	29	30	29	29	29	31	30	31	31	29	29	30	30	4	27	27	3	3	4	4	31	31	27	27	27	12	31	32	31	31	25	13	4	27	25	
